CALLERTYPE,DATECANCELLED,DATEINVTDONE,DATETIMECLOSED,DATETIMEINIT,DESCRIPTION,NEIGHBORHOOD,PRJCOMPLETEDATE,PROBADDRESS,PROBADDTYPE,PROBCITY,PROBLEMCODE,PROBZIP,REQUESTID,SRX,SRY,STATUS,SUBMITTO,WARD
PHONE,NA,2018-01-04 15:39:56.16,2018-01-04 15:39:56.16,2018-01-01 12:39:58.86,Snow/Ice - Residnl,44,2018-01-05 00:00:00.0,1210 SAN JACINTO CT,B,NA,Snow/Ice - Residnl,NA,1049274,877865.169,1017799.12,CLOSED,"STREET DIVISION, 514",24
NA,2018-01-02 11:33:56.927,NA,NA,2018-01-01 13:51:52.0,WTR-COMING-UP,NA,2018-01-12 00:00:00.0,83 WILLMORE RD,A,NA,WTR-COMING-UP,NA,1049275,876185.40888371,998369.24829893,CANCEL,"WATER DIV,",NA
PHONE,NA,2017-12-30 01:15:00.0,2018-01-01 14:52:00.06,2018-01-01 14:42:55.53,Snow/Ice - Residnl,4,2018-01-05 00:00:00.0,SHARP AVE & FRENCH AVE,B,NA,Snow/Ice - Residnl,NA,1049276,885335.024,993725.548,CLOSED,"STREET DIVISION, 514",12
NA,2018-01-02 13:54:06.48,NA,NA,2018-01-01 14:54:25.0,WTR-COMING-UP,15,2018-01-15 00:00:00.0,4234 BECK AVE,A,NA,WTR-COMING-UP,NA,1049277,888273.138,1004242.694,CANCEL,"WATER DIV,",15
WEB,NA,2018-03-06 09:11:48.983,2018-03-06 09:11:48.983,2018-01-01 15:02:09.0,Graffiti-Public,4,2018-01-22 00:00:00.0,LOUGHBOROUGH AVE & MORGANFORD RD,B,NA,Graffiti-Public,NA,1049278,883914.077,995028.88,CLOSED,"OP BRIGHTSIDE,",13
PHONE,NA,2018-01-10 09:56:10.0,2018-08-13 09:19:26.65,2018-01-01 16:28:43.737,Light Damaged,74,2018-01-08 00:00:00.0,8815 N BROADWAY,B,ST LOUIS,Light Damaged,0,1049279,897602.569,1052625.402,CLOSED,"TRAFFIC DIVISION, 511",2
WEB,NA,2018-01-04 12:55:01.0,2018-01-08 09:36:27.713,2018-01-01 16:41:22.0,Containr smells bad,19,2018-01-11 00:00:00.0,3523 LOUISIANA AVE,A,NA,Containr smells bad,NA,1049280,894518.865,1004682.657,CLOSED,"REFUSE,",20
PHONE,NA,2018-01-02 03:05:00.0,2018-01-02 03:20:02.007,2018-01-01 17:12:54.317,Light Damaged,5,2018-01-08 00:00:00.0,4364 CHIPPEWA ST,B,NA,Light Damaged,NA,1049281,887135.446,1003966.251,CLOSED,"TRAFFIC DIVISION, 511",14
WEB,NA,2018-01-02 08:55:52.0,2018-01-03 10:30:11.86,2018-01-01 18:49:19.0,Sunshine Request,NA,2018-08-20 00:00:00.0,NA,A,NA,Sunshine Request,NA,1049282,1,1,CLOSED,"Sunshine Law Coordinator,",NA
PHONE,NA,2018-01-02 11:27:04.613,2018-01-02 11:27:04.613,2018-01-01 19:48:38.32,Single street light out,18,2018-01-04 00:00:00.0,3501 SALENA ST,B,NA,Single Light Out,NA,1049283,900043.586,1003886.073,CLOSED,"TRAFFIC DIVISION, 511",9
PHONE,NA,2018-01-02 11:27:46.077,2018-01-02 11:27:46.077,2018-01-01 19:50:49.257,Whole block lights out,18,2018-01-03 00:00:00.0,3500 MISSOURI AVE,B,NA,Whole Blk Lights Out,NA,1049284,899300.988,1004172.84,CLOSED,"TRAFFIC DIVISION, 511",9
WEB,2018-01-02 15:23:42.96,NA,NA,2018-01-01 20:20:21.0,Whole block lights out,NA,2018-01-03 00:00:00.0,3426 H INDIANA AV,A,NA,Whole Blk Lights Out,NA,1049285,899043.592,1004586.211,CANCEL,"TRAFFIC DIVISION, 511",NA
PHONE,NA,2018-01-02 11:28:34.617,2018-01-02 11:28:34.617,2018-01-01 20:49:57.9,Whole block lights out,22,2018-01-03 00:00:00.0,CHEROKEE ST & LEMP AVE,B,NA,Whole Blk Lights Out,NA,1049286,900624.798,1004680.415,CLOSED,"TRAFFIC DIVISION, 511",9
WEB,NA,2018-01-03 12:53:39.0,2018-01-05 12:24:22.637,2018-01-01 20:56:17.0,Containr damaged,17,2018-01-11 00:00:00.0,4522 S COMPTON AVE,A,NA,Containr damaged,NA,1049287,894322.224,998056.785,CLOSED,"REFUSE,",9
WEB,2018-01-02 15:29:59.213,NA,NA,2018-01-01 21:07:59.0,Whole block lights out,18,2018-01-03 00:00:00.0,3415 LEMP AVE,A,NA,Whole Blk Lights Out,NA,1049288,900497.633,1004487.354,CANCEL,"TRAFFIC DIVISION, 511",9
WEB,2018-01-02 15:31:16.743,NA,NA,2018-01-01 21:13:53.0,Whole block lights out,NA,2018-01-03 00:00:00.0,3539 WISCONSIN AV,A,NA,Whole Blk Lights Out,NA,1049289,899712.493,1003726.82,CANCEL,"TRAFFIC DIVISION, 511",NA
WEB,2018-01-02 15:33:17.493,NA,NA,2018-01-01 21:43:07.0,Whole block lights out,NA,2018-01-03 00:00:00.0,3509 MISSOURI AV,A,NA,Whole Blk Lights Out,NA,1049290,899109.115,1004124.886,CANCEL,"TRAFFIC DIVISION, 511",NA
PHONE,NA,2018-01-02 11:50:00.0,2018-01-02 16:37:50.257,2018-01-01 22:08:46.24,Critical Sign Needs Attention,36,2018-01-04 00:00:00.0,N 20TH ST & CHESTNUT ST,B,NA,Critical Sign,NA,1049291,903350.169,1018531.618,CLOSED,"TRAFFIC DIVISION, 511",6
WEB,NA,2018-01-05 16:16:19.0,2018-01-05 16:16:42.093,2018-01-01 22:36:52.0,WTR-COMING-UP,4,2018-01-15 00:00:00.0,4141 LOUGHBOROUGH AVE,A,NA,WTR-COMING-UP,NA,1049292,884386.552,994833.386,CLOSED,"WATER DIV,",13
WEB,NA,2018-01-10 14:58:47.0,2018-01-10 14:59:15.08,2018-01-01 22:50:42.0,Ppty Maint Code-Ext,24,2018-01-22 00:00:00.0,2714 GEYER AVE,A,NA,Ppty Maint Code-Ext,NA,1049293,898964.498,1012190.865,CLOSED,"BUILDING DIV,",6
WEB,NA,2018-01-10 15:00:04.0,2018-01-10 15:00:22.517,2018-01-01 23:08:11.0,Ppty Maint Code-Ext,24,2018-01-22 00:00:00.0,2704 GEYER AVE,A,NA,Ppty Maint Code-Ext,NA,1049294,899069.681,1012174.162,CLOSED,"BUILDING DIV,",6
WEB,NA,2018-01-05 16:10:39.0,2018-01-05 16:11:03.467,2018-01-01 23:18:39.0,WTR-COMING-UP,31,2018-01-15 00:00:00.0,CAROLINE ST & OHIO AVE,B,NA,WTR-COMING-UP,NA,1049295,899628.204,1014512.447,CLOSED,"WATER DIV,",6
WEB,NA,NA,NA,2018-01-02 00:31:15.0,PRESSURE (low water pressure in bldg),11,2018-01-15 00:00:00.0,6405 SOUTHWEST AVE,A,NA,PRESSURE,NA,1049296,878534.048,1012089.955,Disptch,"WATER DIV,",24
WEB,NA,2018-01-03 09:10:51.0,NA,2018-01-02 02:32:10.0,Sidewalk Repair,7,2018-01-22 00:00:00.0,5748 NEOSHO ST,A,NA,Sidewalk Repair,NA,1049297,879591.638,1002170.668,Disptch,"STREET DEPT, 510",16
PHONE,NA,2018-01-02 11:29:12.703,2018-01-02 11:29:12.703,2018-01-02 05:15:15.563,Whole block lights out,18,2018-01-04 00:00:00.0,1900 CHEROKEE ST,B,NA,Whole Blk Lights Out,NA,1049298,900560.309,1004595.21,CLOSED,"TRAFFIC DIVISION, 511",9
WEB,NA,2018-01-02 10:54:05.933,2018-01-02 10:54:05.933,2018-01-02 06:43:31.0,Leash Law,NA,2018-01-22 00:00:00.0,3758 BATES ST,A,NA,Leash Law,NA,1049299,889244.467,996549.087,CLOSED,"ANIMAL CARE,",13
WEB,NA,2018-01-23 12:29:00.0,2018-03-26 12:30:26.947,2018-01-02 06:48:30.0,Check Welfare,NA,2018-01-22 00:00:00.0,3758 BATES ST,A,NA,Check Welfare,NA,1049300,889244.467,996549.087,CLOSED,"ANIMAL CARE,",13
WEB,NA,2018-01-05 16:05:08.0,2018-01-05 16:05:25.967,2018-01-02 07:20:26.0,WTR-COMING-UP,9,2018-01-15 00:00:00.0,6200 THOLOZAN AVE,B,NA,WTR-COMING-UP,NA,1049301,878626.064,1005888.667,CLOSED,"WATER DIV,",23
WEB,NA,2018-01-03 16:56:06.0,2018-01-03 16:48:12.663,2018-01-02 07:26:20.0,Illegal Use,NA,2018-01-16 00:00:00.0,Scranton Ave @ Riverview Dr,B,NA,Illegal Use,NA,1049302,1,1,CLOSED,"STREET DEPT, 510",NA
NA,NA,2018-01-17 11:12:19.287,2018-01-17 11:12:19.287,2018-01-02 07:37:23.493,ELEVATOR REPAIRS,NA,2018-01-04 00:00:00.0,1915 OLIVE,B,ST. LOUIS,ELEVATOR REPAIRS,63103,1049303,NA,NA,CLOSED,"FACILITIES MGMT,",NA
PHONE,NA,2018-01-02 08:39:07.79,2018-01-02 08:39:07.79,2018-01-02 07:38:03.577,Signals Flashing,35,2018-01-10 00:00:00.0,S 10TH ST & WALNUT ST,B,NA,Signals Flashing,NA,1049304,907083.286,1016900.345,CLOSED,"TRAFFIC DIVISION, 511",7
FIRE STATION,NA,2018-01-18 09:49:05.4,2018-01-18 09:49:05.4,2018-01-02 07:42:48.253,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,1229 MCCAUSLAND,B,ST. LOUIS,BOILER/FURNACE/RADIA,63117,1049305,NA,NA,CLOSED,"FACILITIES MGMT,",NA
ADMIN BUILDING,NA,NA,NA,2018-01-02 07:44:47.827,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,7600 HALL ST.,B,ST. LOUIS,BOILER/FURNACE/RADIA,63147,1049306,NA,NA,Disptch,"FACILITIES MGMT,",NA
NA,NA,2018-03-19 14:58:32.137,2018-03-19 14:58:32.137,2018-01-02 07:47:59.847,LEAK,NA,2018-01-04 00:00:00.0,4014 UNION,B,ST. LOUIS,LEAK,63115,1049307,NA,NA,CLOSED,"FACILITIES MGMT,",NA
FIRE STATION,NA,2018-01-24 11:18:14.457,2018-01-24 11:18:14.457,2018-01-02 07:50:38.193,REPAIR/REPLACE PLUMBING FIXTURE,NA,2018-01-09 00:00:00.0,5450 ARSENAL,B,ST. LOUIS,PLUMBING FIXTURE REP,63139,1049308,NA,NA,CLOSED,"FACILITIES MGMT,",NA
FIRE STATION,NA,2018-01-23 09:30:49.767,2018-01-23 09:30:49.767,2018-01-02 07:52:45.24,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,6500 MICHIGAN,B,ST. LOUIS,BOILER/FURNACE/RADIA,63111,1049309,NA,NA,CLOSED,"FACILITIES MGMT,",NA
NA,NA,2018-01-24 07:19:29.437,2018-01-24 07:19:29.437,2018-01-02 07:55:34.733,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,1915 OLIVE,B,ST. LOUIS,BOILER/FURNACE/RADIA,63103,1049310,NA,NA,CLOSED,"FACILITIES MGMT,",NA
PHONE,NA,2018-01-04 15:47:10.417,2018-01-04 15:47:10.417,2018-01-02 07:56:46.34,Snow/Ice - Major St,NA,2018-01-03 00:00:00.0,3100 chippewa,B,NA,Snow/Ice - Major St,NA,1049311,NA,NA,CLOSED,"STREET DIVISION, 514",NA
ADMIN BUILDING,NA,2018-04-19 09:05:45.243,2018-04-19 09:05:45.243,2018-01-02 07:57:51.363,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,3847 ENRIGHT,B,ST. LOUIS,BOILER/FURNACE/RADIA,63108,1049312,NA,NA,CLOSED,"FACILITIES MGMT,",NA
WEB,NA,2018-01-05 16:15:46.0,2018-01-05 16:16:05.883,2018-01-02 07:58:39.0,"NOWATER (due to main break, etc.)",12,2018-01-15 00:00:00.0,EVELINE ST & HAMPTON AVE,B,NA,NOWATER,NA,1049313,880647.271,1014538.185,CLOSED,"WATER DIV,",24
PHONE,NA,2018-01-23 15:22:09.16,2018-01-23 15:22:09.16,2018-01-02 08:01:33.917,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,1225 SPRUCE,B,ST. LOUIS,BOILER/FURNACE/RADIA,63103,1049314,NA,NA,CLOSED,"FACILITIES MGMT,",NA
PARK,NA,2018-04-19 09:07:47.76,2018-04-19 09:07:47.76,2018-01-02 08:04:07.563,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,5600 CLAYTON AVE,B,ST. LOUIS,BOILER/FURNACE/RADIA,63110,1049315,NA,NA,CLOSED,"FACILITIES MGMT,",NA
PHONE,NA,2018-01-05 15:44:30.773,2018-01-05 15:44:30.773,2018-01-02 08:06:00.44,Snow/Ice - Residnl,65,2018-01-08 00:00:00.0,4022 N FLORISSANT AVE,B,NA,Snow/Ice - Residnl,NA,1049316,903946.669,1030582.062,CLOSED,"STREET DIVISION, 514",3
PHONE,NA,2018-01-04 08:37:22.247,2018-01-04 08:37:22.247,2018-01-02 08:06:14.037,Bulky items missed,45,2018-01-05 00:00:00.0,929 BUENA VISTA AVE,B,NA,Bulky items missed,NA,1049317,875722.338,1020074.629,CLOSED,"REFUSE,",28
PHONE,NA,2018-01-02 12:00:00.0,2018-01-05 17:33:17.163,2018-01-02 08:06:40.667,Insufficient Heat,30,2018-01-11 00:00:00.0,3317 CHEROKEE ST,B,NA,Insufficient Heat,NA,1049318,894906.591,1005667.67,CLOSED,"COMM SANITATION,",9
NA,NA,2018-01-23 13:57:43.677,2018-01-23 13:57:43.677,2018-01-02 08:07:22.5,LEAK,NA,2018-01-04 00:00:00.0,1915 OLIVE,B,ST. LOUIS,LEAK,63103,1049319,NA,NA,CLOSED,"FACILITIES MGMT,",NA
ADMIN BUILDING,NA,2018-02-27 09:16:31.737,2018-02-27 09:16:31.737,2018-01-02 08:10:34.043,LEAK,NA,2018-01-04 00:00:00.0,1200 MARKET,B,ST. LOUIS,LEAK,63103,1049320,NA,NA,CLOSED,"FACILITIES MGMT,",NA
ADMIN BUILDING,NA,2018-01-24 11:08:52.277,2018-01-24 11:08:52.26,2018-01-02 08:11:58.493,REPAIR/REPLACE PLUMBING FIXTURE,NA,2018-01-09 00:00:00.0,1900 HAMPTON AVE.,B,ST. LOUIS,PLUMBING FIXTURE REP,63139,1049321,NA,NA,CLOSED,"FACILITIES MGMT,",NA
ADMIN BUILDING,NA,NA,NA,2018-01-02 08:15:00.287,LEAK,NA,2018-01-04 00:00:00.0,1114 MARKET,B,ST. LOUIS,LEAK,63101,1049322,NA,NA,Disptch,"FACILITIES MGMT,",NA
PHONE,NA,2018-01-04 12:21:00.0,2018-04-02 12:23:17.81,2018-01-02 08:15:01.807,Stray Dog At Large,74,2018-01-22 00:00:00.0,8801 LOWELL ST,B,NA,Stray Dog At Large,NA,1049323,897943.793,1052480.356,CLOSED,"ANIMAL CARE,",2
PHONE,NA,2018-01-03 09:39:48.0,2018-01-03 09:39:48.483,2018-01-02 08:16:08.16,Whole block lights out,9,2018-01-04 00:00:00.0,6500 MARDEL AVE,B,NA,Whole Blk Lights Out,NA,1049324,877048.9,1005824.297,CLOSED,"TRAFFIC DIVISION, 511",23
WEB,NA,2018-01-03 09:39:48.0,2018-01-03 09:39:48.483,2018-01-02 08:16:08.16,Whole block lights out,9,2018-01-04 00:00:00.0,6500 MARDEL AVE,B,NA,Whole Blk Lights Out,NA,1049324,877048.9,1005824.297,CLOSED,"TRAFFIC DIVISION, 511",23
NA,NA,2018-04-19 09:45:16.9,2018-04-19 09:45:16.9,2018-01-02 08:18:01.71,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,1915 OLIVE,B,ST. LOUIS,BOILER/FURNACE/RADIA,63103,1049325,NA,NA,CLOSED,"FACILITIES MGMT,",NA
PHONE,NA,2018-01-02 15:34:30.057,2018-01-02 15:34:30.057,2018-01-02 08:18:33.053,Whole block lights out,18,2018-01-04 00:00:00.0,3500 WISCONSIN AVE,B,NA,Whole Blk Lights Out,NA,1049326,899890.746,1004122.09,CLOSED,"TRAFFIC DIVISION, 511",9
PHONE,NA,2018-01-02 08:22:14.663,2018-01-02 08:22:14.663,2018-01-02 08:19:00.837,Walk-In Blocking Permit,7,2018-02-13 00:00:00.0,5328 ITASKA ST,B,NA,PmtApp_Walk-in,63109,1049327,882024.87,1001525.121,CLOSED,"STREET PERMITS,",14
WEB,NA,2018-01-03 12:54:29.0,2018-01-23 13:27:12.373,2018-01-02 08:20:30.0,Containr damaged,42,2018-01-11 00:00:00.0,6311 WADE AVE,A,NA,Containr damaged,NA,1049328,879702.138,1016505.844,CLOSED,"REFUSE,",24
PHONE,NA,2018-01-02 13:59:00.0,2018-04-03 08:36:15.343,2018-01-02 08:20:46.837,Debris-Vacant Bldg,55,2018-01-22 00:00:00.0,4826 COTE BRILLIANTE AVE,B,NA,Debris-Vacant Bldg,NA,1049329,889854.372,1030150.724,CLOSED,"FORESTRY,",18
TWITTER,NA,2018-01-03 09:42:41.507,2018-01-03 09:42:41.507,2018-01-02 08:22:44.857,Whole block lights out,14,2018-01-04 00:00:00.0,5500 LINDENWOOD AVE,B,NA,Whole Blk Lights Out,NA,1049330,881425.549,1004974.804,CLOSED,"TRAFFIC DIVISION, 511",23
TWITTER,NA,2018-01-03 00:40:00.0,2018-01-03 00:50:00.207,2018-01-02 08:26:24.31,Light Damaged,9,2018-01-09 00:00:00.0,LINDENWOOD AVE & IVANHOE AVE,B,NA,Light Damaged,NA,1049331,876174.642,1005634.275,CLOSED,"TRAFFIC DIVISION, 511",23
NA,NA,2018-03-19 14:57:08.813,2018-03-19 14:57:08.813,2018-01-02 08:28:14.52,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,1915 OLIVE,B,ST. LOUIS,BOILER/FURNACE/RADIA,63103,1049332,NA,NA,CLOSED,"FACILITIES MGMT,",NA
WEB,NA,2018-01-04 15:44:50.14,2018-01-04 15:44:50.14,2018-01-02 08:28:26.0,Snow/Ice - Residnl,14,2018-01-08 00:00:00.0,3285 VOERSTER AVE,A,NA,Snow/Ice - Residnl,NA,1049333,882077.596,1007891.054,CLOSED,"STREET DIVISION, 514",10
WEB,NA,2018-01-04 15:44:50.14,2018-01-04 15:44:50.14,2018-01-02 08:28:26.0,Snow/Ice - Residnl,14,2018-01-08 00:00:00.0,3285 VOERSTER AVE,A,NA,Snow/Ice - Residnl,NA,1049333,882077.596,1007891.054,CLOSED,"STREET DIVISION, 514",10
PHONE,NA,2018-01-05 15:42:15.757,2018-01-05 15:42:15.757,2018-01-02 08:33:04.45,Snow/Ice - Major St,36,2018-01-03 00:00:00.0,N 18TH ST & MARKET ST,B,NA,Snow/Ice - Major St,NA,1049334,904088.094,1018115.178,CLOSED,"STREET DIVISION, 514",7
WEB,NA,2018-01-11 08:29:39.0,2018-01-11 08:30:18.293,2018-01-02 08:33:50.063,WTR-COMING-UP,36,2018-01-15 00:00:00.0,S 18TH ST & CLARK AVE,B,NA,WTR-COMING-UP,NA,1049335,903911.063,1017274.536,CLOSED,"WATER DIV,",7
TWITTER,NA,2018-01-11 08:29:39.0,2018-01-11 08:30:18.293,2018-01-02 08:33:50.063,WTR-COMING-UP,36,2018-01-15 00:00:00.0,S 18TH ST & CLARK AVE,B,NA,WTR-COMING-UP,NA,1049335,903911.063,1017274.536,CLOSED,"WATER DIV,",7
TWITTER,NA,2018-01-11 08:29:39.0,2018-01-11 08:30:18.293,2018-01-02 08:33:50.063,WTR-COMING-UP,36,2018-01-15 00:00:00.0,S 18TH ST & CLARK AVE,B,NA,WTR-COMING-UP,NA,1049335,903911.063,1017274.536,CLOSED,"WATER DIV,",7
PHONE,NA,2018-01-29 13:19:59.0,2018-02-02 12:13:31.097,2018-01-02 08:33:57.937,Vacnt Bldg Unsecured,7,2018-01-22 00:00:00.0,5700 WINONA AVE,B,NA,Vacnt Bldg Unsecured,NA,1049336,880352.156,1004371.077,CLOSED,"BUILDING DIV,",16
PHONE,NA,2018-01-11 08:30:50.0,2018-01-11 08:30:54.09,2018-01-02 08:34:30.617,WTR-COMING-UP,4,2018-01-15 00:00:00.0,6724 PARKWOOD PL,B,NA,WTR-COMING-UP,NA,1049337,883807.374,995547.864,CLOSED,"WATER DIV,",12
PHONE,NA,2018-01-04 15:41:07.403,2018-01-04 15:41:07.403,2018-01-02 08:36:14.853,Snow/Ice - Residnl,55,2018-01-08 00:00:00.0,6724 PARKWOOD PL,B,NA,Snow/Ice - Residnl,NA,1049338,889854.372,1030150.724,CLOSED,"STREET DIVISION, 514",18
NA,2018-01-02 14:29:19.41,NA,NA,2018-01-02 08:37:35.0,Snow/Ice - Residnl,NA,2018-01-08 00:00:00.0,3281 VOERSTER AV,A,NA,Snow/Ice - Residnl,NA,1049339,882084.01835163,1007933.50962214,CANCEL,"STREET DIVISION, 514",NA
NA,NA,2018-01-24 11:19:41.317,2018-01-24 11:19:41.317,2018-01-02 08:39:07.597,LEAK,NA,2018-01-04 00:00:00.0,2910 S. JEFFERSON,B,ST. LOUIS,LEAK,63118,1049340,NA,NA,CLOSED,"FACILITIES MGMT,",NA
PHONE,NA,2018-01-03 02:55:00.0,2018-01-03 02:57:32.963,2018-01-02 08:40:58.63,Single street light out,8,2018-01-05 00:00:00.0,6137 ARCHWOOD LN,B,NA,Single Light Out,NA,1049341,874037.044,999024.515,CLOSED,"TRAFFIC DIVISION, 511",16
PHONE,NA,2018-01-02 10:31:34.0,2018-01-02 10:31:34.72,2018-01-02 08:41:07.4,Signals Flashing,39,2018-01-10 00:00:00.0,S KINGSHIGHWAY BLVD & MCREE AVE,B,NA,Signals Flashing,NA,1049342,887038.563,1014879.685,CLOSED,"TRAFFIC DIVISION, 511",10
NA,NA,2018-01-16 12:33:58.357,2018-01-16 12:33:58.357,2018-01-02 08:42:27.877,RECEPTACLE/SWITCH,NA,2018-01-04 00:00:00.0,1211 N TUCKER,B,ST. LOUIS,RECEPTACLE/SWITCH,63101,1049343,NA,NA,CLOSED,"FACILITIES MGMT,",NA
EMAIL,NA,2018-01-10 15:35:45.35,2018-01-10 15:35:45.35,2018-01-02 08:42:45.337,Single street light out,36,2018-01-05 00:00:00.0,W 16TH ST & WASHINGTON AVE,B,NA,Single Light Out,NA,1049344,905108.885,1019479.492,CLOSED,"TRAFFIC DIVISION, 511",5
ADMIN BUILDING,NA,2018-01-24 10:12:17.657,2018-01-24 10:12:17.657,2018-01-02 08:44:02.147,BREAKER TRIPPED,NA,2018-01-04 00:00:00.0,1200 MARKET,B,ST. LOUIS,BREAKER,63103,1049345,NA,NA,CLOSED,"FACILITIES MGMT,",NA
WEB,NA,2018-01-02 09:11:56.923,2018-01-02 09:11:56.923,2018-01-02 08:46:03.0,Overdimensional Vehicle Application,NA,2018-02-13 00:00:00.0,Angelrodt St @ N Broadway,B,NA,PmtApp_Overdimnsnl,NA,1049346,1,1,CLOSED,"STREET PERMITS,",NA
PHONE,NA,2018-01-08 17:10:00.0,2018-01-09 17:11:42.95,2018-01-02 08:48:24.327,Insufficient Heat,21,2018-01-11 00:00:00.0,1920 S 8TH ST,B,NA,Insufficient Heat,NA,1049347,905008.004,1010224.413,CLOSED,"COMM SANITATION,",7
PHONE,NA,2018-01-11 08:31:11.0,2018-01-11 08:32:57.947,2018-01-02 08:54:03.74,WTR-COMING-UP,25,2018-01-15 00:00:00.0,3451 UTAH ST,B,NA,WTR-COMING-UP,NA,1049348,894337.745,1006426.064,CLOSED,"WATER DIV,",8
PHONE,NA,NA,NA,2018-01-02 08:54:14.147,BOILER/FURNACE/RADIATOR,NA,2018-01-09 00:00:00.0,2110 GASCONADE,B,ST. LOUIS,BOILER/FURNACE/RADIA,63141,1049349,NA,NA,Disptch,"FACILITIES MGMT,",NA
PHONE,NA,2018-01-02 09:19:36.0,2018-02-02 08:44:24.857,2018-01-02 08:56:23.787,Sewer Lateral Defect,76,2018-01-16 00:00:00.0,5607 SUMMIT PL,B,NA,Sewer Lateral Defect,NA,1049350,891155.897,1046437.065,CLOSED,"STREET DEPT, 510",27
PHONE,NA,2018-01-05 15:49:17.133,2018-01-05 15:49:17.133,2018-01-02 08:56:46.17,Snow/Ice - Residnl,25,2018-01-08 00:00:00.0,3451 UTAH ST,B,NA,Snow/Ice - Residnl,NA,1049351,894337.745,1006426.064,CLOSED,"STREET DIVISION, 514",8
PHONE,NA,2018-01-18 12:02:40.0,2018-03-22 14:45:35.527,2018-01-02 08:57:21.237,Street Painting Requ,38,2018-01-18 00:00:00.0,N KINGSHIGHWAY BLVD & LINDELL BLVD,B,NA,Street Painting Requ,NA,1049352,887372.862,1023386.322,CLOSED,"TRAFFIC DIVISION, 511",17
